,stature,weightkg,chestcircumference,waistcircumference
1041,1659,826,1039,1030
1042,1718,651,902,853
1043,1533,570,948,881
1044,1592,719,1051,948
1045,1636,726,1003,846
1046,1648,716,882,875
1047,1669,832,1056,982
1048,1655,604,965,791
1049,1770,764,932,844
1050,1752,934,1051,1028
1051,1741,573,850,768
1052,1608,582,830,775
1053,1636,553,889,718
1054,1555,698,1005,871
1055,1573,640,925,840
1056,1623,590,844,719
1057,1534,604,900,811
1058,1543,666,954,920
1059,1744,670,925,812
1060,1623,633,902,814
1061,1587,618,947,818
1062,1563,645,944,844
1063,1655,582,899,787
1064,1612,796,1033,948
1065,1636,609,900,834
1066,1709,823,996,972
1067,1547,567,906,763
1068,1657,510,896,710
1069,1695,601,876,805
1070,1720,716,955,843
1071,1587,681,912,866
1072,1676,940,1160,981
1073,1726,686,844,840
1074,1616,671,948,866
1075,1747,689,928,745
1076,1705,786,1042,930
1077,1685,704,906,824
1078,1594,504,776,669
1079,1687,598,872,769
1080,1700,760,1005,877
1081,1658,780,1055,970
1082,1562,712,1006,880
1083,1658,665,953,870
1084,1688,735,935,900
1085,1524,544,895,752
1086,1611,678,992,805
1087,1627,648,900,842
1088,1614,663,953,917
1089,1598,779,971,853
1090,1643,702,990,953
1091,1611,592,873,816
1092,1520,563,852,778
1093,1697,927,1039,963
1094,1640,801,992,931
1095,1672,772,970,889
1096,1662,704,936,805
1097,1601,590,882,776
1098,1580,640,978,795
1099,1676,842,997,936
1100,1536,546,822,702
1101,1561,715,932,918
1102,1475,575,903,828
1103,1532,522,798,698
1104,1646,725,957,839
1105,1657,517,854,774
1106,1648,631,896,828
1107,1586,537,804,722
1108,1609,597,900,805
1109,1562,607,944,821
1110,1507,577,875,797
1111,1468,499,881,764
1112,1636,687,926,847
1113,1585,680,1021,863
1114,1607,632,919,868
1115,1657,776,989,907
1116,1606,638,961,883
1117,1705,783,994,946
1118,1605,602,836,735
1119,1666,771,944,952
1120,1635,617,896,833
1121,1498,462,841,737
1122,1619,591,863,715
1123,1559,574,870,808
1124,1639,621,902,758
1125,1574,618,914,883
1126,1530,518,824,789
1127,1552,631,881,812
1128,1572,653,929,838
1129,1670,646,900,770
1130,1574,569,807,707
1131,1636,661,950,798
1132,1575,598,892,856
1133,1676,533,852,716
1134,1705,755,1071,940
1135,1603,702,987,907
1136,1593,655,961,832
1137,1611,644,912,836
1138,1673,680,947,840
1139,1689,715,893,790
1140,1529,499,837,733
1141,1602,523,882,700
1142,1764,740,1057,805
1143,1648,750,956,937
1144,1587,604,976,867
1145,1492,430,808,641
1146,1567,750,1082,951
1147,1563,716,1002,845
1148,1663,723,966,876
1149,1617,765,1030,951
1150,1683,660,904,790
1151,1636,600,914,752
1152,1628,695,933,807
1153,1536,637,917,852
1154,1530,602,874,880
1155,1678,815,1022,913
1156,1682,773,956,885
1157,1585,537,850,742
1158,1588,672,912,826
1159,1718,698,895,820
1160,1655,809,1021,1010
1161,1705,722,893,820
1162,1608,630,976,792
1163,1607,654,886,766
1164,1490,484,847,728
1165,1563,653,956,895
1166,1677,669,824,811
1167,1615,668,945,856
1168,1570,672,907,772
1169,1563,597,887,826
1170,1627,658,929,844
1171,1743,657,863,756
1172,1635,681,917,893
1173,1699,894,1070,1059
1174,1503,643,883,781
1175,1637,857,1103,932
1176,1544,560,854,746
1177,1493,613,908,801
1178,1645,662,913,928
1179,1707,719,923,806
1180,1611,586,889,749
1181,1543,576,845,767
1182,1604,560,874,748
1183,1588,616,851,798
1184,1543,533,811,722
1185,1630,678,998,888
1186,1674,776,974,784
1187,1560,658,935,778
1188,1620,666,1001,930
1189,1613,549,790,740
1190,1541,539,854,818
1191,1595,814,1056,1026
1192,1600,611,923,796
1193,1690,777,942,865
1194,1612,725,930,892
1195,1559,664,945,891
1196,1678,806,1037,985
1197,1608,522,836,767
1198,1559,478,790,698
1199,1683,845,1040,1031
1200,1586,685,985,869
1201,1646,646,932,853
1202,1656,679,908,788
1203,1515,509,820,755
1204,1754,745,953,868
1205,1699,670,934,773
1206,1573,573,969,847
